100
1 1
0.75 1
0.19 0
0.34 0
0.66 0
0.03 0
0.62 0
0.32 0
0.5 0
0.16 0
0.23 0
0.7 1
0.57 0
0.58 0
0.61 0
0.87 1
0.94 1
0.03 0
0.51 0
0.93 1
0.41 0
0.98 1
0.78 1
0.78 1
0.03 0
0.85 1
0.93 1
0.18 0
0.56 0
0.58 0
0.07 0
0.64 0
0.9 1
0.85 1
0.29 0
0.87 1
0.58 0
0.8 1
0.19 0
0.74 1
0.55 0
0.97 1
0.89 1
0.07 0
0.5 0
0.0 0
0.3 0
0.83 1
0.44 0
0.49 0
0.84 1
0.34 0
0.78 1
0.56 0
0.98 1
0.33 0
0.45 0
0.75 1
0.07 0
0.04 0
0.37 0
0.63 0
0.97 1
0.16 0
0.16 0
0.61 0
0.64 0
0.03 0
0.41 0
0.74 1
0.24 0
0.91 1
0.26 0
0.5 0
0.28 0
0.29 0
0.81 1
0.58 0
0.42 0
0.34 0
0.65 0
0.15 0
0.25 0
0.55 0
0.65 0
0.82 1
0.25 0
0.75 1
0.02 0
0.51 0
0.35 0
0.34 0
0.92 1
0.08 0
0.23 0
0.15 0
0.19 0
0.05 0
0.01 0
0.99 1
0.19 0
